번호,인정기관명,인증기업명(국문),현상태,사업자등록번호,메인사업장 지역코드,메인사업장 주소,종업원수(전체),전화번호,E-Mail,Fax,담당자,대표자,우편번호,인증표준,인증번호,최초인증일(기관 최초),최초인증일(인증서 최초),인증유효 시작일자,인증유효 만료일자,인증범위 입력,산업분류코드1,산업분류코드2,산업분류코드3
127,KAB,(주)리문,인증취소,578-81-03377,충남,"충남 천안시 서북구 직산읍 직산로 136, 중2201, 2202호",1,--,leemunco@naver.com,0504-280-8487,이동주 이사,김기민,31035,ISO22716:2007,C250296,2025-03-31,,2025-03-31,2028-03-30,기초화장품에 대한 제조,A-11,,
128,KAB,주식회사 에이아이모빌리티,인증완료,503-86-07597,대구,"대구 달서구 달서대로 559, 403호 (신당동, 이앤씨이노비즈타워)",1,054-583-8131,jychoi@ai-m.co.kr,054-583-8133,최정열 대표이사,최정열,42709,ISO 9001:2015,Q250295,2025-03-31,,2025-03-31,2028-03-30,자동측정 검사장비 시스템의 제작,19,,
129,KAB,비케이기술(주),인증완료,610-81-79545,울산,울산 울주군 청량읍 덕정1길 22,1,052-258-4888,Kbk9953@naver.com,052-258-4824,유영희 과장,김병국,44983,ISO 45001:2018,OH250294,2025-03-24,,2025-03-24,2028-03-23,"전기공사, 계장공사의 시공 및 유지보수",28,,
130,KAB,(주)올곧,인증완료,470-88-02831,경북,경북 구미시 산동읍 첨단기업로 65,2,1833-3786-,allgotfood@naver.com,070-8677-3786,김면성 팀장,최일환,39173,ISO 14001:2015,OH250375,2025-03-24,,2025-11-03,2028-11-02,즉석 조리식품(냉동식품)의 제조,03,,
131,KAB,엔피텍 주식회사,인증취소,816-86-02974,경기,"경기 안성시 서운면 독정서길 28-32, D동",1,031-677-9816,ykj1410@naver.com,031-677-7671,윤경장 전무,이해양,17608,ISO 9001:2015/ISO 14001:2015,QE250291,2025-04-14,,2025-04-14,2028-04-13,"전자부품용 기능성 시트, 절연테이프, 트레이 및 셀 파우치의 제조",14,19,
132,KAB,주식회사 리앤이라마띠네,인증완료,275-86-01567,인천,"인천광역시 중구 은하수로 35 (중산동, 영종 로얄엠포리움호텔)",1,02-963-7785,lelhr1@lelmgm.com,--,김민섭 주임,이왕산,22410,ISO 22000:2018,KOR/FSMS/00432/11217,2025-02-27,,2025-02-27,2028-02-26,"단체급식, 식음료의 공급 서비스",E,,
133,KAB,주식회사 대일리리빙,인증취소,774-88-00055,경기,경기 화성시 봉담읍 삼천병마로 633,1,031-359-8971,living88@livingjin.co.kr,031-359-8974,김선주 과장,김근수,18336,ISO 9001:2015,Q250290,2025-03-10,,2025-03-10,2028-03-09,"세탁세제, 주방세제, 섬유유연제, 세정제, 광택제, 옷걸이, 신발정리대, 분리수거함, 및 LED커버 의 설계, 개발 및 생산",12,14,
134,KAB,연태장업화장용구유한공사,인증완료,913-70-60066,중국,중국 산동성 연태시 래산구 제이에스로 19호,1,535-681-7103,kyk74115@jusystem.com,535-681-7199,김용관이사정원모부장,서정우,,ISO 9001:2015/ISO 14001:2015,QE250287,2025-03-31,,2025-03-31,2028-03-30,"화장품용 용기 및 도구(블러쉬)의 설계, 개발 및 생산",14,,
135,KAB,"DOOIL TPS VIETNAM Co., Ltd.",인증완료,390-01-33853,,,6,84274-355-7874,gogito@dooiltps.com,--,최성림 법인장,최성림,,ISO 9001:2015/ISO 14001:2015,GF-250203,2025-03-21,,2025-03-21,2028-03-20,FIBC(Flexible Intermediate Bulk Container)의 제조,14,,
136,KAB,"DOOIL TOTAL PACKAGING SYSTEM VINA CO., LTD.",인증완료,462-04-50008,,,3,84274-355-7875,dooilvietnam@gmail.com,84274-355-7876,송기환 상무,최방림,,ISO 9001:2015,Q250284,2022-03-11,,2025-03-10,2028-03-10,FIBC(Flexible Intermediate Bulk Container)의 제조,14,,
137,KAB,주식회사 리앤이엠지엠,인증완료,275-86-01567,서울,"서울 동대문구 고산자로 399, 209호",1,02-963-7785,lelhr1@lelmgm.com,02-963-7715,김민섭 주임,이왕산,2566,ISO 9001:2015/ISO 14001:2015,QE250283,2025-02-10,,2025-02-10,2028-02-09,"호텔운영 및 컨설팅, 골프장 위탁운영, 시설관리, 보안, 방역 및 위생 서비스",35,,
138,KAB,주식회사 한컴라이프케어,인증완료,135-81-21955,경기,경기 용인시 처인구 양지면 중부대로1960번길 53 (송문리),3,031-5183-9110,byungki@hancomlc.com,--,최병기 차장,"오병진, 김선영",17160,ISO 14001:2015/ISO 45001:2018,SKOR/EMS/00032/11164,2023-12-14,2023-12-14,2025-01-21,2026-02-20,"공기호흡기, 고압가스용기용 밸브, 송기마스크, 방독마스크, 방진마스크, 일반방독면, 운반형인공호흡 기, 산소공급기, 화생방용 방독면, 방열복, 전동식호흡보호구, 소방용 구조헬멧, 소방용 진압헬멧, 방 화헬멧, 안전헬멧, 방화복, 소방용 특수방화복, 소방용 화학보호복, 특수보호의, 화재용 긴급대피마스 크, 비상탈출용호흡구, 화재대피용 자급식호흡기구, 소방용 방화두건, 화학물질용 보호복 및 교전훈 련장비의 설계, 개발 및 생산, 고압가스 용기의 재검사",04,14,"18,19,34"
139,KAB,(주)미래시스템,인증완료,314-81-14023,대전,대전 유성구 테크노2로 80-27(관평동),2,042-939-4195,hwlee@mrsys.co.kr,042-936-7943,이현우 책임,김상규,34014,ISO 14001:2015,E250281,2022-02-27,,2025-02-10,2028-02-10,"항공, 우주 및 방산용 신호처리유닛 및 전자제어유닛의 개발 및 제조",19,,
140,KAB,에스디바이오센서 주식회사,인증완료,135-86-13315,충북,충북 청주시 흥덕구 오송읍 오송생명4로 74,3,--,Kangsm85@sdbiosensor.com,--,강성만 팀장,"이효근, 허태영",28161,ISO 14001:2015,E250280,2022-02-22,,2025-02-20,2028-02-21,"체외진단 제품의 설계, 제조 및 보관",19,,
141,KAB,주식회사 레이거프로퍼티,인증취소,588-87-02945,서울,"서울 송파구 백제고분로 75, 902호 (잠실동, 올림피아)",1,02-3431-8990,Jyyu22@naver.com,02-3431-8991,유재연 팀장,유승재,5561,ISO9001:2015/ISO14001:2015/ISO 45001:2018,QEO240279,2025-01-06,,2025-01-06,2028-01-05,"건물의 통합운영관리(시설,보안,미화,주차,안내)서비스",35,,
142,KAB,대찬,인증완료,312-31-70233,충남,충남 천안시 서북구 입장면 섶머리3길 12,1,041-414-5537,nct25@naver.com,041-587-5537,김영찬 전무,김제엽,31027,ISO9001:2015/ISO14001:2015/ISO 45001:2018,QEO240277,2023-01-27,,2026-01-26,2029-01-26,반도체 장비 부품 및 자동화설비 부품의 제작,18,,
143,KAB,신화인터텍(주),인증완료,124-81-35935,충남,"충남 천안시 동남구 병천면 매봉로 308 (송정리, 신화인터텍)",2,041-590-3300,rkh0917@shinwha.com,--,류강희 대리,안철흥,31257,ISO50001:2018,24-En-0078,2024-09-20,,2024-09-20,2027-09-19,"스마트 광학용 필름, 고기능성 테이프의 설계, 개발 및 생산",19,,
144,KAB,(주)금비 이천공장,인증취소,126-81-09409,경기,경기 이천시 부발읍 중부대로1707번길 13 (무촌리),2,031-632-5280,jungmj@kumbi.co.kr,--,정민진 과장,고기영,17323,ISO 22000:2018,KOR/FSMS/00433/11294,2025-03-25,,2025-03-25,2028-03-24,유리병의 개발 및 생산,I,,
145,KAB,장원테크비나,인증완료,230-05-32305,,,2,222-361-7990,guy5284@jangwontech.net,--,권기홍 팀장,김용규,,ISO50001:2018,24-En-0064,2024-06-18,,2024-06-18,2027-06-17,"휴대폰, IT제품, 통신장비 및 자동차용 다이캐스팅 부품의 생산",17,,
146,KAB,(주)풍원,인증완료,515-81-01077,경북,경북 경산시 진량읍 진성로 209 (대원리),1,053-857-0106,poongwon@hometax.go.kr,--,박영진 이사,조원준,38473,ISO 45001:2018,SKOR/OH&SMS/00016/11146,2025-01-09,,2025-01-09,2028-01-08,"나일론, 폴리에스터, 면직물 제조",04,,
147,KAB,울산광역시 북구청,인증취소,610-83-04301,울산,울산 북구 산업로 1010 (연암동),3,052-241-7894,dogstar94@korea.kr,052-241-7890,김태연 담당자,박천동,44248,ISO 45001:2018,OH240274,2024-12-09,,2024-12-09,2027-12-08,"공공행정 서비스(환경관리, 건축물 관리, 조경관리, 도로유지 보수 등)의 안전보건경영시스템",36,,
148,KAB,주식회사 글로벌코리아,인증완료,546-81-01595,경북,"경북 안동시 경동로 1375, 안동대학교 지역산학협력관 405호(송천동)",1,054-853-0715,cdspro1004@naver.com,054-843-0716,정준희 이사,송진호,36729,ISO 9001:2015,Q240273,2024-11-25,,2024-11-25,2027-11-24,수상레저 기구의 제조,23,,
149,KAB,탐모라바이오 농업회사법인 주식회사,인증완료,335-86-01404,제주,제주특별자치도 제주시 오광로 36 (이호이동),1,064-712-5802,tammorabio@naver.com,0504-464-5802,홍경호 과장,윤정식,63110,ISO 9001:2015/ISO 14001:2015,QE240272,2024-11-25,,2024-11-25,2027-11-24,단미사료 및 기타 사료의 제조,03,,
150,KAB,주식회사 디와이메탈,인증완료,614-81-04347,경북,경북 고령군 다산면 다산산단1길 60,1,054-956-4347,dym4347@daum.net,054-956-4348,최다솔 주임 박재욱 이사,이강문,40113,ISO 45001:2018,OH240278,2025-01-06,,2025-01-06,2028-01-05,주물제품의 제조,17,,
151,KAB,주식회사 밸류파이브,인증완료,291-88-00040,울산,"울산 남구 테크노산업로55번길 133-10, 2층 (두왕동, 현대비엔)",1,052-279-5869,Hyh6010@value5s.com,052-275-1201,허화열 상무,박세훈,44776,ISO9001:2015/ISO45001:2018,QO240270,2024-12-09,,2024-12-09,2027-12-08,"플랜트공사감독, 정비관리감독, 안전관리감독",35,,
152,KAB,대동전산폼 주식회사,인증취소,503-81-48690,대구,대구 달서구 월곡로100길 19 (월성동),1,053-593-6622,korealee73@hanmail.net,053-593-6627,이한국 부장,차장수,42723,ISO 45001:2018,OH240269,2024-12-09,,2024-12-09,2027-12-08,광고물의 기획 및 제조,23,35,
153,KAB,한국항로표지기술원,인증완료,839-82-00248,세종,"세종특별자치시 아름서1길 13-9, 6층 601호, 602호, 603호(아름동, 다올비즈니스센터)",1,044-850-7514,adonis8412@katon.or.kr,044-862-7601,임지호 차장,박광열,30100,ISO9001:2015/ISO45001:2018,OH240268,2024-11-04,,2025-11-24,2028-11-28,"QMS 1. 등부표의 제작, 수리 2. 항로표지 장비·용품의 시험, 검사 및 서비스 OHS 1. 등대박물관 운영 2. 등부표의 제작, 수리 3. 항로표지 장비·용품의 시험, 검사 및 서비스",17,34,
154,KAB,주식회사 디아이티,인증취소,124-86-37544,경기,경기 화성시 정남면 가장로 355-50 (내리),2,031-300-5356,jmlee@diteam.co.kr,--,이정무 차장,박종철,18513,ISO50001:2018,SKOR/EnMS/00001/11018,2021-11-05,,2024-11-05,2027-11-04,반도체 및 디스플레이 검사장비 개발 및 제조,18,,
155,KAB,주식회사 일동플러스팜,인증완료,514-81-66534,대구,대구 달서구 성서서로48길 6 (갈산동),1,053-631-5141,monica6162@daum.net,--,권기식 대표,권기식,42703,ISO 22000:2018,KOR/FSMS/00431/10991,2024-10-30,,2024-10-30,2027-10-29,건강음료의 제조,CⅣ,,
156,KAB,주식회사 로봇드림,인증취소,439-81-01680,경기,"경기 광명시 일직로 43, 20층 제에이2015호(일직동)",1,02-6914-5800,admin@rdcorp.co.kr,02-6914-5802,장정아 팀장,호영식,14353,ISO 9001:2015/ISO 14001:2015,QE240266,2024-11-11,,2024-11-11,2027-11-10,"자동화기기, 기계부품, 반도체 장비 부품, 전자부품의 개발 및 생산",18,19,
157,KAB,주식회사 썬즈,인증완료,622-87-00043,경기,"경기 광명시 하안로 228, 1동 11호(하안동, 광명시시범공단)",1,02-2681-5200,manage@globalsuns.com,02-2617-5300,김윤화 부장,김태완,14308,ISO 9001:2015/ISO 14001:2015,QE240265,2024-11-11,,2024-11-11,2027-11-10,"1. 정보통신장비 및 기자재의 개발, 제조 2. 정보통신공사 3. 무역(정보통신 관련 장비 및 기자재, 태양광 관련 제품, 화장품)",19,28,29
158,KAB,(주)휴온스,인증완료,863-87-00270,충북,충북 제천시 바이오밸리로 100(왕암동),4,--,parkhy@huons.com,--,박효열 부장,"송수영, 윤상배",27159,ISO 45001:2018,OH240262,2021-12-21,,2024-12-19,2027-12-20,"경구제, 고체 점안약, 액체 점안약, 주사제 의약품, 멸균된 비약물 점안액의 제조",13,19,
159,KAB,(주)휴온스 동암 연구소,인증완료,--,경기,경기 과천시 과천대로7나길 56-19,2,070-7492-5963,yunam@huons.com,02-6455-0740,남영욱 대리,송수영,13840,ISO 45001:2018,OH240261,2021-12-21,,2024-12-19,2027-12-20,"의약품, 건강기능식품의 연구개발",34,,
160,KAB,주식회사 휴메딕스,인증완료,204-81-76343,충북,충북 제천시 바이오밸리2로 17 (왕암동),3,070-7492-5492,mskang@humedix.com,--,강민석 과장,김진환,27159,ISO 45001:2018,OH240264,2024-12-16,,2024-12-16,2027-12-15,"전문의약품(PFS, BFS, 주사제) 및 의료기기(필러)의 개발 및 제조",13,19,
161,KAB,(주)휴온스바이오파마,인증완료,181-86-02034,충북,충북 제천시 바이오밸리2로 50,2,070-7492-3485,fhrgns@huonsbiopharma.com,043-642-7304,공휘림 담당자,김영목,27159,ISO 45001:2018,OH240263,2021-12-21,,2024-12-19,2027-12-20,바이오 의약품 개발 및 제조(클로스트리디움 보툴리눔 A),13,,
162,KAB,(주)성남씨앤씨,인증완료,513-81-72687,경북,경북 구미시 1공단로6길 53-26 (공단동),1,054-463-8813,sncnc@naver.com,054-463-8816,김주옥 주임,허남석,39379,ISO 45001:2018,OH240257,2024-11-04,,2024-11-04,2027-11-03,"기계부품(자동화 장비, 케이스)의 설계, 개발 및 제조",17,,
163,KAB,(주)청운테크,인증완료,504-81-21490,대구,대구 북구 검단공단로 46-25 (검단동),1,053-383-7550,cwtech@daum.net,053-382-7550,소우영 차장,백운학,41514,ISO 45001:2018,OH240256,2024-10-07,,2024-10-07,2027-10-06,자동차용 프레스부품 및 용접부품의 제조,17,,
164,KAB,(주)위드인,인증완료,610-86-03322,울산,"울산 남구 봉월로 167 C동 408호 (신정동, 태화강 엑슬루타워)",1,052-223-5544,jsy@withinjob.co.kr,--,정소영 부장,"전재욱, 임대호",44623,ISO9001:2015/ISO45001:2018,OH240255,2024-09-30,,2025-03-04,2028-03-31,"-인력 파견 및 도급 -고객사 완제품의 검수, 포장, 출하 -인력 관리와 부가 서비스",35,,
165,KAB,상진열기(주),심사보류,506-81-31688,경북,경북 포항시 남구 장기면 장기로 1373,1,054-293-0273,,054-293-1272,,금시환,37942,ISO 9001:2015,Q240253,,2003-11-29,,2025-12-31,"열교환기, 압력용기 및 철구조물의 설계, 개발, 생산 및 서비스",17,18,
166,KAB,주식회사 에이치앤엠바이오,인증취소,579-86-01950,충남,"충남 아산시 신창면 순천향로 22, 305호",1,041-545-6541,banjea@hanmail.net,041-673-0452,이명오 대표이사,이명오,31538,ISO9001:2015/ISO14001:2015/ISO 45001:2018,E240259,2024-09-30,,2024-09-30,2027-09-29,"공공처리장 찌꺼기(협잡물,슬러지) 감량화장치, 고농도 난분해성 하?폐수처리장치 이동식 하?폐수처리장치, 중수도 장치, 오염토양 복원시스템, 산업용 산소수 발생 장치의 설계,개발 및 제조",18,,
167,KAB,"TIANJIN SUNGJU SOUND CO., LTD.",인증취소,911-20-22360,,,3,862268-7611-123,dkkim@soundpia.co.kr,--,김동기 법인장,최윤길,,ISO 14001:2015,E240160,2021-04-04,,2024-04-22,2027-04-01,Design and Manufacture of Speakers,19,,
168,KAB,주식회사 와이디테크,인증완료,503-81-66515,대구,대구 달서구 달서대로95길 106 (호산동),1,053-585-5920,,053-585-5930,손맹숙 과장,손용기,42712,ISO 45001:2018,OH240246,2024-09-02,,2024-09-02,2027-09-01,"산업용기계, 반도체장비의 설계, 개발 및 제조",18,,
169,KAB,주식회사 에이치더블유엘,인증완료,122-81-82261,인천,인천 서구 건지로 146 (가좌동),1,032-325-1815,donald818@daum.net,032-325-1817,김형석 부장,장규연,22844,ISO 9001:2015/ISO 14001:2015,QE240244,2024-09-23,,2024-09-23,2027-09-22,"사출 성형품의 설계, 개발 및 제조",14,,
170,KAB,수영전자(심천)유한공사,인증완료,914-40-30007,,,1,--,wckim9966@naver.com,--,김우창 법인장,강용찬,,ISO 9001:2015/ISO 14001:2015,QE240242,2013-09-27,,2025-08-25,2028-09-26,"산업용 테이프의 설계, 개발 및 가공",14,,
171,KAB,(주)유닛컴퍼니,인증완료,776-81-01968,경기,"경기 부천시 원미구 평천로 655, 401동 803호 (약대동, 부천 테크노파크)",1,--,orgston85@naver.com,--,이원석 부장,최선희,14502,ISO 9001:2015/ISO 14001:2015,QE240241,2024-09-02,,2024-09-02,2027-09-01,교육 및 다목적 로봇 설계개발 및 제조,19,,
172,KAB,긱플러스코리아 유한회사,인증완료,442-81-02593,서울,"서울 마포구 상암산로 34, 10층(상암동)",1,--,Joon.park@geekplus.com,--,박준형 부장,ZHENG YONG,3909,ISO 45001:2018,OH240239,2024-09-23,,2024-09-23,2027-09-22,"물류관리 자동화 로봇의 판매, 설치 및 유지보수",29,,
173,KAB,유한회사 피브이에이테플라코리아,인증완료,765-86-02297,경기,"경기 화성시 동탄첨단산업1로 27, 비동 31층 B3126, 3127호 (영천동, 금강펜테리움 IX타워)",1,031-723-0301,bertha.chu@pvatepla.com,031-723-0302,추윤정 부장,임재일,18469,ISO 45001:2018,OH240238,2024-08-12,,2024-08-12,2027-08-11,"반도체 장비, 산업용 설비의 판매 설치 및 유지보수",29,,
174,KAB,정인 H&SP,인증완료,514-01-28713,경북,경북 성주군 성주읍 성주산업단지로2길 59 (금산리),1,054-931-9041,jihsp@naver.com,054-931-9043,강익중 공장장,김영길,40031,ISO 9001:2015,Q240236,2014-10-31,2014-10-31,2024-09-30,2026-11-30,산업용 부품의 열처리,17,,
175,KAB,주식회사 송이실업,인증완료,503-86-01273,대구,대구 달서구 성서공단북로65길 54(갈산동),1,053-584-5207,rnd@songitex.com,--,이용성 연구소장,손황,42697,ISO 9001:2015,Q240237,2017-10-27,2017-10-27,2024-09-09,2026-10-26,"나일론, 면, 메모리, 스판덱스 및 교직물의 제조",04,12,
176,KAB,케이엠텍주식회사,인증완료,608-81-65164,경북,경북 고령군 다산면 다산산단3길 21-26,1,054-956-8240,kmt1223@naver.com,054-956-8225,김경학 이사,권규태,40113,ISO 9001:2015,Q240233,2014-07-18,,2026-07-13,2029-07-17,"공작기기용, 선박용 및 산업기계용 주물제품의 제조",17,,
177,KAB,인성피앤씨주식회사,인증완료,134-81-41638,충북,충북 보은군 삼승면 남부로 3750-35,2,043-543-2123,,--,고영호 실장,이숭인,28924,ISO 9001:2015,Q240232,2014-01-20,,2024-08-19,2027-08-31,플라스틱 필름의 생산,14,,
178,KAB,주식회사 마카네이쳐,인증취소,888-86-01780,충남,"충남 태안군 태안읍 동문5길 6, 1층",1,070-4232-7603,sorytop@gmail.com,041-673-0452,이영호 이사,정태연,32143,ISO9001:2015/ISO14001:2015/ISO 45001:2018,QEO240228,2024-08-26,,2024-08-26,2027-08-25,비누에 대한 제조,12,,
179,KAB,(주)민성,인증완료,610-81-89801,울산,울산 울주군 청량읍 상남2길 25-4,2,052-266-6417,bluelake307@naver.com,052-266-6419,최민혁 팀장,권택장,44985,ISO9001:2015/ISO14001:2015/ISO 45001:2018,E240226,2024-09-02,,2024-09-02,2027-09-01,"전기공사,계장공사,소방공사,구조물해체 비계공사, 토공사, 철근콘크리트공사, 기계설비공사, 정보통신공사의 시공 및 유지보수",28,,
180,KAB,주식회사 형원피앤씨,인증완료,211-88-09502,충남,충청남도 당진시 합덕읍 농공단지길 34,2,--,윤혜경 과장,--,,강희원,31808,FSSC 22000 (Version 6),25-FSSC-0450,2024-08-08,2024-08-08,2025-08-11,2028-08-10,가스치환포장(MAP)으로 PE 필름에 포장된 슈레드 치즈제품의 제조,CⅠ,,
181,KAB,우리바이오(주),인증취소,134-81-55919,경기,"경기도 안산시 단원구 성곡로 79, 1층(성곡동, 608블럭 30롯트)",1,031-599-3212,ysseo@wooree.co.kr,--,서영선 차장,박길수,15409,FSSC 22000 (Version 6),23-F-1017,2023-07-06,,2023-07-06,2026-07-05,"건강기능식품 및 가공식품 (인삼홍삼음료, 액상차, 혼합음료, 추출가공식품, 기타가공품, 캔디류, 과채가공품)의 제조",CⅣ,,
182,KAB,돌산버섯영농조합법인,인증취소,417-81-37489,전남,전라남도 여수시 돌산읍 돌산로 1491-25,1,061-644-4548,kimsyshfn@naver.com,--,오성이 품질팀장,천숙희,59776,FSSC 22000 (Version 6),23-F-1092,2023-09-14,,2023-09-14,2026-09-13,"버섯가공 식품의 제조 (액상차, 고형차, 커피, 쌀)",CⅣ,,
183,KAB,주식회사 비에스텍글로벌,인증완료,813-88-03323,경기,경기 평택시 서탄면 서탄로 448-64,1,031-611-7230,kcb0093@naver.com,031-611-7231,김영은 과장,공명숙,17704,ISO 9001:2015,Q240224,2014-02-26,,2024-07-22,2027-09-30,"기능성 스포츠 의류, 실리콘 코팅 수영모자, 실리콘 코팅원단, 극세사 타올 및 부력보조복의 생산",04,,
184,KAB,주식회사 엠넥스,인증완료,421-88-02197,경기,경기 수원시 권선구 산업로156번길 194 (고색동),2,070-4600-2401,Jh_lee1@myunghwa.com,031-8019-8599,이주형 매니저,"문성준, 오대윤",16648,ISO 14001:2015/ISO 45001:2018,OH240223,2024-08-05,,2025-10-27,2028-11-28,"Electric Water Pump, Electric Oil Pump, Battery Cooling Fan 및 Electronic Control Unit 의 생산",18,,
185,KAB,명화공업(주),인증완료,134-85-00431,경기,경기 안산시 단원구 범지기로 65,5,052-711-1091,ghkim@myunghwa.com,052-707-7130,김기호 팀장,문성준,15429,ISO 14001:2015/ISO 45001:2018,OH240221,2024-08-05,,2025-10-27,2028-11-28,"ㆍ안산공장: 자동차용 Pump류 (Oil Pump, Water Pump, Fuel Pump, Lube Pump) 및 Auto Transmission용 부품에 대한 설계, 개발 및 생산 ㆍ울산공장: Power Train Pumps, Carrier Assemblies 및 knuckles에 대한 설계, 개발 및 생산 / Brake discs, Brake Drums, Brake & Axle Complete Including Hubs 및 Transmission Parts에 대한 생산 ㆍ아산공장: Carriers, Knuckles 및 BRG-RR에 대한 생산 ㆍ둔포공장: Power Train Pump 및 Transmission용 부품에 대한 생산 ㆍ언양공장: Brake Discs 및 Knuckle Carriers의 생산",18,,
186,KAB,주식회사 태왕이앤씨,인증완료,504-81-89073,대구,"대구 중구 중앙대로 403, 6층, 7층, 8층, 9층 (남일동)",1,053-430-7127,tw89073@bill36524.com,053-430-7025,권우철 실장,"노기원, 김수경",41935,ISO 45001:2018,OH240214,2024-06-24,,2024-06-24,2027-06-23,"주택건설대지조성사업자, 토목.건축공사, 산업.환경설비공사, 전문소방시설공사, 전기공사, 정보통신공사, 조경공사",28,,
187,KAB,주식회사 도완테크,인증완료,254-88-02729,울산,울산 울주군 온산읍 명봉거남로 133,1,052-258-0922,,052-257-0922,김경민 사무주임,김상효,44991,ISO9001:2015/ISO45001:2018,QO240213,2024-07-08,,2024-07-08,2027-07-07,"기계설비, 배관, 도장 공사 및 유지보수",28,,
188,KAB,주식회사 데코엔지니어링,인증취소,712-87-00031,경기,"경기 평택시 평택3로 31, 3층",1,031-653-4393,pp590520@daum.net,031-8029-7181,박종일 총괄이사,차영숙,17909,ISO9001:2015/ISO45001:2018,QO240212,2024-07-08,,2024-07-08,2027-07-07,"산업용 열교환기의 세정 및 유지보수와 발전설비 (냉각탑, 급수펌프, 로터, 케이싱, HRSG, 보일러파이프)의 유지보수",28,,
189,KAB,주식회사 다온다자동차유리,인증완료,301-86-35139,경기,"경기 수원시 권선구 덕영대로 1058, 외 1필지(세류동)",1,031-548-0523,daonda@daonda-ag.com,00--,김슬기 매니저,이재천,16654,ISO 9001:2015,Q240211,2024-07-22,,2024-07-22,2027-07-21,자동차 유리 수리 및 교체 서비스,29,,
190,KAB,(주)케이원메탈1공장,인증완료,570-88-02280,경북,경북 고령군 다산면 다산산단로 136,1,054-956-9197,kwon0383@naver.com,054-700-9397,정광재 차장/김강희 차장(안전),박경원,40113,ISO9001:2015/ISO14001:2015/ISO 45001:2018,ESG250376,2024-06-10,,2025-11-17,2026-11-16,"자동차 및 선박기계, 공작기계, 건설기계, 일반산업기계용 주조물 제작",17,,
191,KAB,(주)케이원메탈2공장,인증완료,503-81-94990,경북,경북 고령군 다산면 다산산단2길 88,1,054-955-9197,kwon0383@naver.com,054-955-9198,김재활 이사/ 최영도 차장,박경원,40113,ISO9001:2015/ISO14001:2015/ISO 45001:2018,OH240235,2024-08-05,,2024-08-05,2027-08-04,"자동차 및 선박기계, 공작기계, 건설기계, 일반산업기계용 주조물 제작",17,,
192,KAB,(주)대명기술,인증완료,610-81-87574,울산,"울산 남구 야음로 4, 104동 2층 202호 (야음동, 신선아파트)",1,052-258-7141,choon7771@daum.net,052-258-7144,김진기 부장,김기춘,44753,ISO 45001:2018,OH240205,2024-05-27,,2024-05-27,2027-05-26,배관 및 철구조물 설치 및 시공,28,,
193,KAB,주식회사 섬섬바이오,인증완료,727-88-02101,전남,"전남 장성군 남면 나노산단로 123, 305호 (전남바이오산업진흥원 나노바이오연구센터)",1,061-820-7834,ysh8694@sumsumbio.com,--,양승화 선임,최문희,57248,ISO9001:2015/ISO14001:2015/ISO 45001:2018,QEO240204,2024-06-03,,2024-06-03,2027-06-02,"화장품, 건강기능식품의 개발 및 제조",03,12,
194,KAB,혜서산업(주),인증완료,427-86-00437,경북,"경북 포항시 남구 문예로82번길 32, 1층 (해도동)",1,054-283-9688,wjs9688@naver.com,054-246-9688,정용호 과장,전진마,37824,ISO 45001:2018,OH240201,2024-05-27,,2024-05-27,2027-05-26,기계설비공사,28,,
195,KAB,주식회사 하영기업,인증완료,336-87-01137,서울,"서울 구로구 디지털로 271, 2층 201-3호 (구로동, 벽산디지털밸리Ⅲ)",1,02-873-2473,hy01137@hanmail.net,02-873-2476,유준호 이사,박진희,8381,ISO9001:2015/ISO14001:2015/ISO 45001:2018,QEO240198,2024-06-03,,2024-06-03,2027-06-02,철도 궤도 공사 및 유지보수 서비스,28,,
196,KAB,유니퀘스트(주)/NBLESS,인증완료,120-81-56132,경기,"경기 성남시 분당구 황새울로 314 (서현동, 유니퀘스트빌딩)",1,070-4248-3612,eylee@uniquest.co.kr,02-504-3613,이은영 이사,Kim Andrew,13591,ISO9001:2015/ISO14001:2015/ISO 45001:2018,E240196,,,2024-05-27,2027-06-03,"빌딩제어 시스템(HVAC 제품, 디지털 제어기, 통합제어 시스템, 조명제어기). 에너지 절약 시스템(ESCO), 정보통신, 통합 보안 시스템(출입 통제, CCTV, 외곽 감시, 침입자 감시), 전력종합 자동화 시스템(PLC, 드라이브, HMI, 컴퓨터제어시스템, 분산제어시스템, 원격감시제어시스템, 자동제어계장시스템, 공장 자동화시스템, 계측제어기기, 드라이브판넬, 철도신호제어시스템, 태양광발전 시스템, 에너지저장장치시스템, ESS용 전력변환시스템, 전력관리시스템) )의 설치, 시공, 부가서비스 및 판매",28,29,
197,KAB,(주)삼구아이앤씨 울산피피사업장,인증완료,118-81-15986,울산,울산 남구 신항로716번길 20 (황성동),2,--,kwk05448@naver.com,052-901-6091,김원근 팀장,"김형규, 김화성",44784,ISO 45001:2018,OH240194,2024-06-24,,2024-06-24,2027-06-23,폴리프로필렌 제품포장 및 출하,35,,
